airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
SFO,Terminal A,2018-12-02,1900 - 2000,11,28,15,28,12,28,723,271,0,0,0,0,0,24,1018,5,14
SFO,Terminal A,2018-12-02,2100 - 2200,12,34,16,35,14,35,169,83,14,0,0,0,0,8,274,1,8
SFO,Terminal A,2018-12-02,2200 - 2300,8,33,13,34,10,34,224,60,4,0,0,0,0,18,306,2,8
SFO,Terminal A,2018-12-02,2300 - 0000,9,27,11,27,9,27,214,39,0,0,0,0,0,12,265,2,7
SFO,Terminal G,2018-12-02,0500 - 0600,8,16,8,27,8,27,211,17,0,0,0,0,0,13,241,1,7
SFO,Terminal G,2018-12-02,0600 - 0700,12,52,21,52,15,52,482,283,68,29,0,0,0,25,887,3,12
SFO,Terminal G,2018-12-02,0700 - 0800,10,35,18,39,14,39,320,102,43,0,0,0,0,14,479,2,10
SFO,Terminal G,2018-12-02,0800 - 0900,13,37,20,74,16,74,591,263,70,37,33,0,0,31,1025,4,16
SFO,Terminal G,2018-12-02,0900 - 1000,15,61,26,62,21,62,347,180,28,98,8,0,0,17,678,3,18
SFO,Terminal G,2018-12-02,1100 - 1200,15,107,37,117,26,117,638,297,154,28,110,76,0,40,1343,6,17
SFO,Terminal G,2018-12-02,1200 - 1300,15,30,39,91,29,91,133,88,0,0,57,5,0,8,291,2,15
SFO,Terminal G,2018-12-02,1300 - 1400,12,30,21,56,18,56,183,34,12,35,0,0,0,7,271,1,16
SFO,Terminal G,2018-12-02,1400 - 1500,13,51,22,74,18,74,548,229,46,59,48,0,0,31,961,5,15
SFO,Terminal G,2018-12-02,1500 - 1600,19,45,21,63,20,63,395,285,152,59,11,0,0,25,927,3,18
SFO,Terminal G,2018-12-02,1600 - 1700,11,42,15,43,12,43,609,251,41,0,0,0,0,33,934,4,17
SFO,Terminal G,2018-12-02,1700 - 1800,7,19,9,20,8,20,343,28,0,0,0,0,0,10,381,3,12
SFO,Terminal G,2018-12-02,1800 - 1900,12,26,16,45,14,45,305,152,43,0,0,0,0,16,516,2,13
SFO,Terminal G,2018-12-02,1900 - 2000,13,35,23,69,19,69,367,225,39,53,17,0,0,22,723,2,12
SFO,Terminal G,2018-12-02,2000 - 2100,12,81,33,93,22,93,477,154,26,67,85,4,0,28,841,4,14
SFO,Terminal G,2018-12-02,2100 - 2200,16,54,26,65,23,65,150,64,22,50,18,0,0,15,319,1,11
SFO,Terminal A,2018-12-03,0900 - 1000,18,63,34,64,25,64,219,183,100,101,13,0,0,18,634,3,16
SFO,Terminal A,2018-12-03,1000 - 1100,14,67,49,83,35,83,217,104,59,79,149,0,0,17,625,2,17
SFO,Terminal A,2018-12-03,1200 - 1300,17,128,48,128,38,128,513,251,156,105,142,174,16,40,1397,5,17
SFO,Terminal A,2018-12-03,1300 - 1400,21,107,42,114,35,114,105,81,19,1,7,46,0,7,266,1,17
SFO,Terminal A,2018-12-03,1400 - 1500,10,47,37,71,28,71,223,37,30,113,61,0,0,14,478,2,15
SFO,Terminal A,2018-12-03,1500 - 1600,14,48,24,48,18,48,155,75,35,11,0,0,0,9,285,1,8
SFO,Terminal A,2018-12-03,1800 - 1900,13,63,28,65,21,65,557,228,160,132,22,0,0,34,1133,4,16
SFO,Terminal A,2018-12-03,1900 - 2000,15,49,28,49,18,49,317,238,95,14,0,0,0,18,682,4,15
SFO,Terminal A,2018-12-03,2100 - 2200,8,23,10,27,9,27,269,47,0,0,0,0,0,11,327,2,8
SFO,Terminal A,2018-12-03,2200 - 2300,6,18,11,18,7,18,82,15,0,0,0,0,0,7,104,1,6
SFO,Terminal G,2018-12-03,0500 - 0600,15,75,24,79,21,79,226,133,59,38,22,0,0,21,499,2,9
SFO,Terminal G,2018-12-03,0600 - 0700,19,46,19,55,19,55,280,224,93,27,0,0,0,18,642,2,17
SFO,Terminal G,2018-12-03,0700 - 0800,9,42,14,78,12,78,527,158,15,6,5,0,0,27,738,3,18
SFO,Terminal G,2018-12-03,0800 - 0900,11,36,19,66,14,66,691,277,60,31,11,0,0,33,1103,5,18
SFO,Terminal G,2018-12-03,0900 - 1000,9,27,13,38,12,38,424,116,37,0,0,0,0,23,600,3,14
SFO,Terminal G,2018-12-03,1000 - 1100,8,20,11,24,9,24,130,16,0,0,0,0,0,5,151,1,11
SFO,Terminal G,2018-12-03,1100 - 1200,10,48,24,84,18,84,558,205,33,69,43,0,0,24,932,5,14
SFO,Terminal G,2018-12-03,1300 - 1400,14,42,16,56,16,56,199,184,13,3,0,0,0,14,413,2,12
SFO,Terminal G,2018-12-03,1400 - 1500,22,59,37,119,31,119,352,151,141,20,78,69,0,25,836,4,18
SFO,Terminal G,2018-12-03,1500 - 1600,14,42,26,88,20,88,286,149,25,0,52,0,0,15,527,2,18
SFO,Terminal G,2018-12-03,1600 - 1700,17,75,29,79,22,79,498,189,56,16,115,0,0,23,897,5,18
SFO,Terminal G,2018-12-03,1700 - 1800,12,19,3,9,11,19,95,50,0,0,0,0,0,4,149,1,9
SFO,Terminal G,2018-12-03,1800 - 1900,10,26,17,31,16,31,164,171,9,0,0,0,0,8,352,1,14
SFO,Terminal G,2018-12-03,1900 - 2000,15,45,16,44,16,45,497,291,95,0,0,0,0,28,911,4,13
SFO,Terminal G,2018-12-03,2000 - 2100,13,29,14,36,14,36,231,142,19,0,0,0,0,9,401,2,12
