airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
MSP,Terminal 1Lindbergh,2018-08-06,1700 - 1800,13,55,26,57,18,57,136,81,22,17,0,0,0,8,264,1,5
MSP,Terminal 2Humphrey,2018-08-06,0800 - 0900,3,4,2,3,2,4,5,0,0,0,0,0,0,1,6,1,0
MSP,Terminal 2Humphrey,2018-08-06,1000 - 1100,9,13,0,0,9,13,10,0,0,0,0,0,0,1,11,1,0
MSP,Terminal 2Humphrey,2018-08-06,1200 - 1300,5,17,6,6,5,17,26,1,0,0,0,0,0,3,30,3,0
MSP,Terminal 2Humphrey,2018-08-06,1400 - 1500,5,10,5,5,5,10,8,0,0,0,0,0,0,1,9,1,0
MSP,Terminal 2Humphrey,2018-08-06,1500 - 1600,6,9,2,2,5,9,5,0,0,0,0,0,0,1,6,1,0
MSP,Terminal 2Humphrey,2018-08-06,1600 - 1700,5,10,10,13,7,13,11,0,0,0,0,0,0,2,13,2,0
MSP,Terminal 2Humphrey,2018-08-06,1700 - 1800,4,6,0,0,4,6,12,0,0,0,0,0,0,1,13,1,0
MSP,Terminal 2Humphrey,2018-08-06,1800 - 1900,9,24,12,24,10,24,191,65,0,0,0,0,0,15,271,2,4
MSP,Terminal 1Lindbergh,2018-08-07,0800 - 0900,10,15,10,24,10,24,54,8,0,0,0,0,0,2,64,1,2
MSP,Terminal 1Lindbergh,2018-08-07,0900 - 1000,10,23,12,22,10,23,127,29,0,0,0,0,0,3,159,1,2
MSP,Terminal 1Lindbergh,2018-08-07,1100 - 1200,14,43,25,49,18,49,129,82,35,10,0,0,0,8,264,1,6
MSP,Terminal 1Lindbergh,2018-08-07,1200 - 1300,11,80,35,90,17,90,346,94,37,17,29,0,0,16,539,2,5
MSP,Terminal 1Lindbergh,2018-08-07,1300 - 1400,17,69,42,71,27,71,97,85,28,30,29,0,0,7,276,1,6
MSP,Terminal 1Lindbergh,2018-08-07,1400 - 1500,12,27,19,33,14,33,153,102,8,0,0,0,0,8,271,1,6
MSP,Terminal 1Lindbergh,2018-08-07,1500 - 1600,8,23,14,26,10,26,141,40,0,0,0,0,0,6,187,1,7
MSP,Terminal 1Lindbergh,2018-08-07,1600 - 1700,11,25,14,27,12,27,229,85,0,0,0,0,0,9,323,2,7
MSP,Terminal 1Lindbergh,2018-08-07,1800 - 1900,12,37,19,38,13,38,154,77,13,0,0,0,0,7,251,1,3
MSP,Terminal 2Humphrey,2018-08-07,1100 - 1200,6,8,3,3,5,8,10,0,0,0,0,0,0,0,10,1,0
MSP,Terminal 2Humphrey,2018-08-07,1200 - 1300,3,11,3,3,3,11,27,0,0,0,0,0,0,2,29,2,0
MSP,Terminal 2Humphrey,2018-08-07,1300 - 1400,12,44,5,5,12,44,14,0,2,0,0,0,0,1,17,1,0
MSP,Terminal 2Humphrey,2018-08-07,1400 - 1500,5,16,5,5,5,16,16,1,0,0,0,0,0,1,18,1,0
MSP,Terminal 2Humphrey,2018-08-07,1500 - 1600,3,8,3,3,3,8,11,0,0,0,0,0,0,1,12,1,0
MSP,Terminal 2Humphrey,2018-08-07,1600 - 1700,4,7,4,5,4,7,14,0,0,0,0,0,0,2,16,2,0
MSP,Terminal 2Humphrey,2018-08-07,1800 - 1900,24,80,44,79,33,80,110,88,117,54,60,0,0,11,440,3,5
MSP,Terminal 1Lindbergh,2018-08-08,0800 - 0900,8,23,10,23,9,23,56,8,0,0,0,0,0,0,64,1,2
MSP,Terminal 1Lindbergh,2018-08-08,1100 - 1200,13,44,22,46,15,46,147,55,29,2,0,0,0,7,240,1,5
MSP,Terminal 1Lindbergh,2018-08-08,1200 - 1300,15,45,30,54,20,54,200,197,65,28,0,0,0,15,505,2,6
MSP,Terminal 1Lindbergh,2018-08-08,1300 - 1400,19,60,32,66,24,66,115,213,39,48,17,0,0,13,445,2,6
MSP,Terminal 1Lindbergh,2018-08-08,1400 - 1500,14,37,21,37,16,37,140,98,32,0,0,0,0,5,275,1,6
MSP,Terminal 1Lindbergh,2018-08-08,1500 - 1600,10,25,16,25,11,25,142,43,0,0,0,0,0,6,191,1,6
MSP,Terminal 1Lindbergh,2018-08-08,1600 - 1700,13,40,23,44,16,44,304,226,64,0,0,0,0,17,611,3,7
MSP,Terminal 1Lindbergh,2018-08-08,1800 - 1900,10,19,14,21,11,21,127,36,0,0,0,0,0,6,169,1,2
MSP,Terminal 2Humphrey,2018-08-08,1100 - 1200,4,6,0,0,4,6,10,0,0,0,0,0,0,1,11,1,0
MSP,Terminal 2Humphrey,2018-08-08,1200 - 1300,3,7,0,0,3,7,21,0,0,0,0,0,0,2,23,2,0
MSP,Terminal 2Humphrey,2018-08-08,1300 - 1400,5,10,0,0,5,10,22,0,0,0,0,0,0,2,24,2,0
MSP,Terminal 2Humphrey,2018-08-08,1400 - 1500,5,7,0,0,5,7,8,0,0,0,0,0,0,1,9,1,0
MSP,Terminal 2Humphrey,2018-08-08,1500 - 1600,5,8,0,0,5,8,16,0,0,0,0,0,0,0,16,1,0
MSP,Terminal 2Humphrey,2018-08-08,1600 - 1700,3,9,9,9,3,9,11,0,0,0,0,0,0,0,11,1,0
MSP,Terminal 2Humphrey,2018-08-08,1800 - 1900,9,27,20,35,13,35,81,40,10,0,0,0,0,8,139,1,5
MSP,Terminal 2Humphrey,2018-08-08,1900 - 2000,9,20,13,23,10,23,102,37,0,0,0,0,0,6,145,1,5
MSP,Terminal 1Lindbergh,2018-08-09,0800 - 0900,5,11,7,14,7,14,52,0,0,0,0,0,0,2,54,1,2
MSP,Terminal 1Lindbergh,2018-08-09,1100 - 1200,14,58,31,65,20,65,130,83,20,20,8,0,0,9,270,1,4
