airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
LAX,Satellite 2,2018-07-17,1800 - 1900,12,31,16,35,13,35,349,178,4,0,0,0,0,15,546,3,9
LAX,Satellite 2,2018-07-17,2200 - 2300,8,14,0,0,8,14,18,0,0,0,0,0,0,1,19,1,0
LAX,Satellite 2,2018-07-17,2300 - 0000,4,17,0,0,4,17,11,3,0,0,0,0,0,2,16,2,0
LAX,Satellite 5,2018-07-17,1000 - 1100,27,30,23,32,24,32,1,9,1,0,0,0,0,1,12,1,1
LAX,Satellite 5,2018-07-17,1100 - 1200,36,61,37,63,36,63,3,9,5,11,2,0,0,1,31,1,1
LAX,Satellite 5,2018-07-17,1200 - 1300,15,24,20,35,18,35,9,13,3,0,0,0,0,3,28,2,1
LAX,Satellite 5,2018-07-17,1600 - 1700,14,26,15,27,14,27,17,9,0,0,0,0,0,2,28,2,1
LAX,Satellite 5,2018-07-17,1700 - 1800,32,47,19,38,29,47,4,8,14,1,0,0,0,3,30,3,1
LAX,Satellite 5,2018-07-17,1800 - 1900,9,22,22,22,9,22,16,4,0,0,0,0,0,2,22,1,1
LAX,Satellite 7,2018-07-17,0500 - 0600,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,0
LAX,Satellite 7,2018-07-17,0700 - 0800,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,0
LAX,Satellite 7,2018-07-17,1000 - 1100,10,28,13,32,11,32,297,91,2,0,0,0,0,12,402,2,6
LAX,Satellite 7,2018-07-17,1100 - 1200,7,48,16,63,11,63,346,77,23,5,3,0,0,28,482,2,8
LAX,Satellite 7,2018-07-17,1200 - 1300,10,29,19,37,15,37,84,41,16,0,0,0,0,5,146,1,7
LAX,Satellite 7,2018-07-17,1300 - 1400,2,33,0,0,2,33,156,11,4,0,0,0,0,1,172,2,5
LAX,Satellite 7,2018-07-17,1600 - 1700,6,18,5,18,6,18,289,18,0,0,0,0,0,5,312,2,7
LAX,Satellite 7,2018-07-17,1700 - 1800,14,54,25,60,18,60,454,237,125,74,0,0,0,25,915,5,10
LAX,Satellite 7,2018-07-17,1800 - 1900,13,17,0,0,13,17,3,3,0,0,0,0,0,0,6,1,0
LAX,Satellite 7,2018-07-17,2200 - 2300,37,56,0,0,37,56,0,11,20,11,0,0,0,2,44,1,0
LAX,Terminal 4,2018-07-17,0800 - 0900,26,30,0,0,26,30,0,6,0,0,0,0,0,0,6,1,0
LAX,Terminal 4,2018-07-17,1000 - 1100,14,55,21,56,17,56,175,21,34,24,0,0,0,7,261,1,8
LAX,Terminal 4,2018-07-17,1200 - 1300,12,37,18,40,14,40,176,78,23,0,0,0,0,8,285,1,7
LAX,Terminal 4,2018-07-17,1400 - 1500,8,51,36,114,23,114,246,56,24,26,36,22,0,14,424,3,6
LAX,Terminal 4,2018-07-17,1500 - 1600,10,44,44,97,31,97,140,23,16,16,46,12,0,8,261,1,6
LAX,Terminal 4,2018-07-17,1700 - 1800,16,18,0,0,16,18,2,4,0,0,0,0,0,0,6,1,1
LAX,Terminal 4,2018-07-17,1800 - 1900,13,17,0,0,13,17,2,5,0,0,0,0,0,1,8,1,0
LAX,Terminal 4,2018-07-17,1900 - 2000,14,14,16,18,15,18,3,3,0,0,0,0,0,1,7,1,1
LAX,Tom Bradley International Terminal,2018-07-17,0000 - 0100,18,38,25,38,20,38,30,61,17,0,0,0,0,7,115,1,21
LAX,Tom Bradley International Terminal,2018-07-17,0500 - 0600,16,28,19,28,18,28,58,114,0,0,0,0,0,5,177,1,22
LAX,Tom Bradley International Terminal,2018-07-17,0600 - 0700,9,26,13,41,12,41,1035,456,37,0,0,0,0,41,1569,5,37
LAX,Tom Bradley International Terminal,2018-07-17,0700 - 0800,6,47,14,48,10,48,1063,333,67,5,0,0,0,42,1510,6,32
LAX,Tom Bradley International Terminal,2018-07-17,0800 - 0900,9,37,13,46,11,46,638,169,43,3,0,0,0,31,884,5,31
LAX,Tom Bradley International Terminal,2018-07-17,0900 - 1000,11,35,18,39,16,39,619,589,77,0,0,0,0,37,1322,6,32
LAX,Tom Bradley International Terminal,2018-07-17,1000 - 1100,14,38,18,41,16,41,480,492,88,0,0,0,0,30,1090,4,42
LAX,Tom Bradley International Terminal,2018-07-17,1100 - 1200,11,34,14,37,13,37,1169,619,45,0,0,0,0,57,1890,8,35
LAX,Tom Bradley International Terminal,2018-07-17,1200 - 1300,9,40,18,50,15,50,1195,563,230,9,0,0,0,62,2059,8,37
LAX,Tom Bradley International Terminal,2018-07-17,1300 - 1400,11,40,15,43,13,43,1442,680,111,0,0,0,0,69,2302,9,31
LAX,Tom Bradley International Terminal,2018-07-17,1400 - 1500,16,52,24,60,21,60,1067,1065,443,190,0,0,0,87,2852,8,37
LAX,Tom Bradley International Terminal,2018-07-17,1500 - 1600,11,40,21,54,17,54,672,350,218,37,0,0,0,67,1344,5,43
LAX,Tom Bradley International Terminal,2018-07-17,1600 - 1700,8,32,15,37,12,37,1341,556,89,0,0,0,0,61,2047,7,40
LAX,Tom Bradley International Terminal,2018-07-17,1700 - 1800,10,37,14,44,12,44,1302,671,78,0,0,0,0,61,2112,8,40
LAX,Tom Bradley International Terminal,2018-07-17,1800 - 1900,7,43,16,48,11,48,1228,480,100,6,0,0,0,58,1872,9,37
LAX,Tom Bradley International Terminal,2018-07-17,1900 - 2000,11,36,13,36,12,36,1089,545,49,0,0,0,0,50,1733,8,32
LAX,Tom Bradley International Terminal,2018-07-17,2000 - 2100,10,38,15,44,14,44,651,359,48,0,0,0,0,36,1094,4,35
